Date,DAX,SP500,OSEBenchmark,BIST100,CSI1000,EGX30,TanzaniaAllShare,DSE30,NSE30
1/6/2019,"10,887.46","2,596.26",841.4,916.87,"4,621.61","13,367.44","1,990.85","2,011.74","1,343.94"
1/13/2019,"11,205.54","2,670.71",853.84,984.55,"4,626.41","13,482.99","2,009.66","2,009.48","1,378.95"
1/20/2019,"11,281.79","2,664.76",836.96,"1,018.01","4,607.94","13,506.65","2,054.45","2,049.00","1,402.97"
1/27/2019,"11,180.66","2,706.53",837.32,"1,029.37","4,482.99","14,126.68","2,134.00","2,007.96","1,366.69"
2/10/2019,"11,299.80","2,775.60",865.5,"1,027.15","4,773.51","14,984.46","2,139.21","1,999.08","1,485.14"
2/17/2019,"11,457.70","2,792.67",872,"1,031.86","5,059.51","15,146.71","2,148.11","2,002.17","1,473.90"
2/24/2019,"11,601.68","2,803.69",866.56,"1,032.67","5,364.37","14,803.97","2,082.00","1,998.65","1,427.91"
3/3/2019,"11,457.84","2,743.07",863.7,"1,015.38","5,633.32","14,904.03","2,093.75","1,990.32","1,438.19"
3/10/2019,"11,685.69","2,822.48",880.4,"1,033.04","5,777.11","14,991.34","2,057.05","2,023.66","1,401.60"
3/17/2019,"11,364.17","2,800.71",873.83,998.35,"6,014.55","14,782.81","2,091.88","1,992.99","1,398.78"
3/24/2019,"11,526.04","2,834.40",863.11,937.84,"5,911.21","14,665.81","2,060.29","1,968.68","1,392.65"
3/31/2019,"12,009.75","2,892.74",884.79,987.83,"6,260.07","15,247.81","2,077.72","1,948.46","1,324.07"
4/7/2019,"11,999.93","2,907.41",885.29,959.77,"6,101.20","15,105.96","2,068.93","1,902.97","1,324.04"
4/14/2019,"12,222.39","2,905.03",890.35,968.61,"6,255.25","14,876.37","2,001.62","1,897.58","1,351.59"
4/21/2019,"12,315.18","2,939.88",883.52,947.83,"5,834.38","14,770.27","2,033.89","1,863.94","1,332.75"
4/28/2019,"12,412.75","2,945.64",880.77,939.46,"5,682.24","14,880.39","1,945.35","1,870.58","1,313.28"
5/5/2019,"12,059.83","2,881.40",870.98,885.33,"5,445.53","14,060.00","1,919.48","1,851.34","1,294.53"
5/12/2019,"12,238.94","2,859.53",882.49,867.96,"5,330.99","13,659.73","1,868.66","1,818.20","1,255.43"
5/19/2019,"12,011.04","2,826.06",875.95,860.72,"5,200.77","13,776.85","1,892.55","1,832.81","1,265.61"
5/26/2019,"11,726.84","2,752.06",852.09,905.9,"5,334.25","13,771.31","1,889.46","1,876.59","1,286.68"
6/2/2019,"12,045.38","2,873.34",868.84,938.09,"5,030.80","13,787.80","1,905.85","1,876.59","1,257.60"
6/9/2019,"12,096.40","2,886.98",861.17,907.87,"5,173.07","14,180.53","1,916.56","1,918.73","1,242.32"
6/16/2019,"12,339.92","2,950.46",871.75,940.22,"5,406.04","14,043.42","1,909.07","1,894.39","1,245.28"
6/23/2019,"12,398.80","2,941.76",864.63,964.85,"5,321.43","14,100.74","1,892.27","1,924.90","1,255.68"
6/30/2019,"12,568.53","2,990.41",885.7,996.35,"5,424.25","13,997.40","1,889.43","1,910.07","1,213.90"
7/7/2019,"12,323.32","3,013.77",881.77,970.98,"5,219.19","13,813.56","1,909.78","1,857.71","1,188.26"
7/14/2019,"12,260.07","2,976.61",863.22,"1,018.49","5,220.03","13,670.27","1,924.15","1,829.57","1,155.48"
7/21/2019,"12,419.90","3,025.86",867.4,"1,028.37","5,216.60","13,510.06","1,944.90","1,836.18","1,158.47"
7/28/2019,"11,872.44","2,932.05",853.58,996.79,"5,091.06","13,525.93","1,923.37","1,838.50","1,133.34"
8/4/2019,"11,693.80","2,918.65",837.82,994.05,"4,869.79","14,180.44","1,975.94","1,837.75","1,099.52"
8/11/2019,"11,562.74","2,888.68",827.08,957.34,"5,013.58","14,295.13","1,943.43","1,837.75","1,060.38"
